wavelength,EGFP ex,EGFP em,EGFP 2p
300,0.0962,,
301,0.0872,,
302,0.0801,,
303,0.0739,,
304,0.0675,,
305,0.0612,,
306,0.0579,,
307,0.0541,,
308,0.0528,,
309,0.049,,
310,0.0487,,
311,0.0474,,
312,0.0459,,
313,0.0446,,
314,0.0439,,
315,0.0446,,
316,0.0442,,
317,0.042,,
318,0.0412,,
319,0.0399,,
320,0.0391,,
321,0.0378,,
322,0.0353,,
323,0.0346,,
324,0.0348,,
325,0.0346,,
326,0.0317,,
327,0.0324,,
328,0.0321,,
329,0.0296,,
330,0.0308,,
331,0.0305,,
332,0.0299,,
333,0.0317,,
334,0.0312,,
335,0.0303,,
336,0.0322,,
337,0.0324,,
338,0.0326,,
339,0.0334,,
340,0.0348,,
341,0.0346,,
342,0.0357,,
343,0.0364,,
344,0.0374,,
345,0.0398,,
346,0.0412,,
347,0.0429,,
348,0.0438,,
349,0.0466,,
350,0.049,,
351,0.0481,,
352,0.0512,,
353,0.057,,
354,0.0539,,
355,0.0557,,
356,0.059,,
357,0.0616,,
358,0.0646,,
359,0.0662,,
360,0.0685,,
361,0.0723,,
362,0.0729,,
363,0.0756,,
364,0.0798,,
365,0.0814,,
366,0.0841,,
367,0.0875,,
368,0.0909,,
369,0.0921,,
370,0.0955,,
371,0.0984,,
372,0.1002,,
373,0.1011,,
374,0.1078,,
375,0.1103,,
376,0.1123,,
377,0.116,,
378,0.1174,,
379,0.1217,,
380,0.125,,
381,0.1269,,
382,0.1296,,
383,0.1324,,
384,0.1349,,
385,0.1363,,
386,0.1393,,
387,0.1429,,
388,0.1442,,
389,0.1465,,
390,0.148,,
391,0.1513,,
392,0.1541,,
393,0.1561,,
394,0.1582,,
395,0.1604,,
396,0.1622,,
397,0.1646,,
398,0.1651,,
399,0.1671,,
400,0.1683,,
401,0.1682,,
402,0.17,,
403,0.1701,,
404,0.171,,
405,0.1732,,
406,0.1732,,
407,0.1742,,
408,0.1763,,
409,0.1768,,
410,0.1776,,
411,0.1797,,
412,0.1818,,
413,0.184,,
414,0.1858,,
415,0.1879,,
416,0.1901,,
417,0.1933,,
418,0.1967,,
419,0.1992,,
420,0.2028,,
421,0.2052,,
422,0.2079,,
423,0.2113,,
424,0.2147,,
425,0.218,,
426,0.2218,,
427,0.2254,,
428,0.2299,,
429,0.2355,,
430,0.2408,,
431,0.2456,,
432,0.2518,,
433,0.2583,,
434,0.2661,,
435,0.2741,,
436,0.2832,,
437,0.2918,,
438,0.3018,,
439,0.3141,,
440,0.3248,,
441,0.337,,
442,0.3496,,
443,0.3629,,
444,0.3766,,
445,0.3915,,
446,0.4072,,
447,0.4225,,
448,0.4393,,
449,0.4558,,
450,0.4734,,
451,0.4898,,
452,0.508,,
453,0.5254,,
454,0.5431,,
455,0.561,,
456,0.5785,,
457,0.5951,,
458,0.6119,,
459,0.6284,,
460,0.6438,,
461,0.6601,,
462,0.6744,,
463,0.6887,0.0027,
464,0.7018,0.0031,
465,0.7151,0.0034,
466,0.7277,0.004,
467,0.7397,0.0043,
468,0.7524,0.0051,
469,0.7647,0.0061,
470,0.7771,0.0072,
471,0.7889,0.0086,
472,0.8017,0.0101,
473,0.8143,0.0122,
474,0.8286,0.0151,
475,0.8418,0.0179,
476,0.8561,0.022,
477,0.8705,0.0266,
478,0.8846,0.0318,
479,0.9003,0.0384,
480,0.9151,0.0461,
481,0.929,0.055,
482,0.9436,0.0651,
483,0.9568,0.0783,
484,0.9691,0.092,
485,0.9793,0.109,
486,0.9885,0.1266,
487,0.9939,0.148,
488,0.9982,0.1716,
489,1.0,0.1981,
490,0.9969,0.2267,
491,0.9908,0.2587,
492,0.9797,0.2945,
493,0.964,0.3315,
494,0.9442,0.3714,
495,0.9194,0.4155,
496,0.8904,0.4598,
497,0.8561,0.5088,
498,0.8188,0.5594,
499,0.7775,0.6104,
500,0.7346,0.6649,
501,0.6874,0.7182,
502,0.6399,0.7666,
503,0.5906,0.8161,
504,0.5428,0.8622,
505,0.493,0.9027,
506,0.4459,0.9355,
507,0.3996,0.9664,
508,0.3548,0.9877,
509,0.3136,0.9994,
510,0.2747,0.9999,
511,0.2376,1.0,
512,0.2042,0.9889,
513,0.1747,0.9696,
514,0.1469,0.9406,
515,0.1229,0.906,
516,0.1015,0.8711,
517,0.0838,0.8345,
518,0.0686,0.7934,
519,0.0553,0.7509,
520,0.0454,0.7149,
521,0.0362,0.6802,
522,0.0307,0.6504,
523,0.0257,0.6208,
524,0.0212,0.5966,
525,0.0178,0.5698,
526,0.0157,0.547,
527,0.0138,0.5275,
528,0.0122,0.5084,
529,0.0109,0.49,
530,0.0093,0.4733,
531,0.0083,0.4636,
532,0.0073,0.4504,
533,0.0064,0.4393,
534,0.0059,0.4296,
535,0.0051,0.4221,
536,0.0054,0.4105,
537,0.0052,0.4014,
538,0.0048,0.3942,
539,0.0047,0.3867,
540,0.0044,0.381,
541,0.005,0.3693,
542,0.0056,0.3621,
543,0.0053,0.3583,
544,0.0054,0.3476,
545,0.0053,0.3393,
546,0.0046,0.3295,
547,0.0058,0.3223,
548,0.0057,0.312,
549,0.0061,0.3015,
550,0.0059,0.2908,
551,0.005,0.2796,
552,0.0049,0.2674,
553,0.0043,0.2564,
554,0.0044,0.2451,
555,0.0042,0.2344,
556,0.0044,0.2243,
557,0.004,0.2156,
558,0.0046,0.2068,
559,0.0036,0.1957,
560,0.0054,0.1865,
561,0.0043,0.1806,
562,0.0036,0.1706,
563,0.0038,0.1617,
564,0.0036,0.1548,
565,0.0044,0.1485,
566,0.005,0.1406,
567,0.0041,0.1347,
568,0.0037,0.1283,
569,0.0034,0.1224,
570,0.0042,0.1173,
571,0.0041,0.1143,
572,0.0047,0.108,
573,0.004,0.1041,
574,0.0041,0.0969,
575,0.0045,0.0959,
576,0.0047,0.092,
577,0.0053,0.0883,
578,0.0043,0.0843,
579,0.0046,0.0813,
580,0.0038,0.0787,
581,0.0042,0.0759,
582,0.0041,0.0737,
583,0.0038,0.0712,
584,0.0045,0.0687,
585,0.0044,0.0653,
586,0.0041,0.0645,
587,0.0041,0.0633,
588,0.0048,0.0594,
589,0.0042,0.0591,
590,0.0043,0.0558,
591,0.0042,0.0544,
592,0.0038,0.053,
593,0.004,0.0501,
594,0.0047,0.0492,
595,0.0044,0.0472,
596,0.0032,0.0461,
597,0.0034,0.0441,
598,0.0034,0.0417,
599,0.0037,0.0407,
600,0.0036,0.0388,
601,0.0027,0.037,
602,0.0031,0.0361,
603,0.003,0.0356,
604,0.0033,0.0336,
605,0.0031,0.0324,
606,0.004,0.0325,
607,0.0039,0.0296,
608,0.0043,0.0286,
609,0.0038,0.0279,
610,0.0047,0.0271,0.3855
611,0.0034,0.0256,0.3816
612,0.0042,0.0252,0.3792
613,0.0038,0.0242,0.3785
614,0.0045,0.0222,0.3792
615,0.0041,0.022,0.3867
616,0.0038,0.0223,0.3926
617,0.0038,0.0208,0.3914
618,0.0041,0.0199,0.3896
619,0.005,0.019,0.3911
620,0.0041,0.0179,0.3941
621,0.0044,0.0178,0.3984
622,0.0027,0.017,0.4045
623,0.0041,0.0173,0.414
624,0.0028,0.0155,0.4231
625,0.0032,0.0153,0.4262
626,0.0026,0.0152,0.4269
627,0.0035,0.0147,0.4295
628,0.0037,0.0149,0.4326
629,0.0038,0.0142,0.4353
630,0.0041,0.0134,0.4382
631,0.0037,0.0136,0.4418
632,0.0045,0.0125,0.4433
633,0.0032,0.0125,0.4416
634,0.0033,0.012,0.4412
635,0.003,0.0118,0.4445
636,0.0034,0.0119,0.4494
637,0.0027,0.0113,0.4567
638,0.0023,0.0111,0.4636
639,0.0022,0.0109,0.4662
640,0.0031,0.0108,0.4663
641,0.0022,0.0104,0.4651
642,0.0028,0.0102,0.4627
643,0.0019,0.0102,0.4585
644,0.0023,0.0096,0.4564
645,0.0023,0.0099,0.4603
646,0.002,0.0096,0.4676
647,0.003,0.0087,0.4773
648,0.003,0.0097,0.4889
649,0.0034,0.0088,0.5002
650,0.0043,0.009,0.5098
651,0.0033,0.0084,0.5167
652,0.0038,0.0081,0.5219
653,0.0031,0.0079,0.5255
654,0.0038,0.0079,0.5282
655,0.0032,0.008,0.5314
656,0.0035,0.0076,0.5342
657,0.0033,0.0076,0.538
658,0.0033,0.0079,0.5412
659,0.004,0.008,0.5426
660,0.0029,0.0071,0.5408
661,0.0029,0.0078,0.5362
662,0.0032,0.0075,0.5283
663,0.0033,0.0073,0.5173
664,0.0033,0.0071,0.5039
665,0.0032,0.0073,0.4893
666,0.0027,0.007,0.4732
667,0.0019,0.007,0.4572
668,0.0025,0.0069,0.4422
669,0.0026,0.007,0.4293
670,0.0034,0.0064,0.4169
671,0.0028,0.0068,0.4049
672,0.0036,0.0065,0.3915
673,0.0041,0.0064,0.3752
674,0.0036,0.0065,0.3568
675,0.003,0.0065,0.3365
676,0.0021,0.0067,0.314
677,0.001,0.0067,0.2899
678,0.0004,0.0065,0.2661
679,0.0022,0.0065,0.2439
680,0.0009,0.0064,0.2238
681,0.0015,0.0065,0.2066
682,0.0004,0.0064,0.1916
683,0.0007,0.0071,0.1766
684,0.001,0.0069,0.1626
685,0.0013,0.0066,0.1499
686,0.0016,0.0068,0.1382
687,0.0014,0.0061,0.1262
688,0.0018,0.0069,0.1151
689,0.0005,0.0061,0.1054
690,0.0017,0.0065,0.0966
691,0.0004,0.006,0.0879
692,0.0012,0.0068,0.0805
693,0.0012,0.0067,0.0743
694,0.0002,0.0063,0.0687
695,0.0011,0.0063,0.0626
696,0.0021,0.0064,0.0572
697,0.0022,0.0067,0.0527
698,0.0023,0.0068,0.0493
699,0.0022,0.0064,0.0467
700,0.0017,0.0064,0.0447
701,,,0.0431
702,,,0.042
703,,,0.0413
704,,,0.0411
705,,,0.0414
706,,,0.042
707,,,0.0424
708,,,0.0429
709,,,0.0436
710,,,0.0444
711,,,0.045
712,,,0.0456
713,,,0.046
714,,,0.0465
715,,,0.0472
716,,,0.0482
717,,,0.0495
718,,,0.0509
719,,,0.0525
720,,,0.0539
721,,,0.0547
722,,,0.0552
723,,,0.0558
724,,,0.0564
725,,,0.057
726,,,0.0577
727,,,0.0586
728,,,0.0597
729,,,0.0608
730,,,0.0621
731,,,0.0638
732,,,0.0657
733,,,0.067
734,,,0.0684
735,,,0.071
736,,,0.0742
737,,,0.0769
738,,,0.0794
739,,,0.0822
740,,,0.0848
741,,,0.0872
742,,,0.09
743,,,0.0934
744,,,0.0964
745,,,0.0988
746,,,0.1008
747,,,0.1019
748,,,0.1031
749,,,0.1053
750,,,0.1087
751,,,0.1144
752,,,0.1213
753,,,0.1271
754,,,0.1314
755,,,0.1345
756,,,0.1371
757,,,0.139
758,,,0.142
759,,,0.1503
760,,,0.1588
761,,,0.1623
762,,,0.1628
763,,,0.1615
764,,,0.1584
765,,,0.1544
766,,,0.1521
767,,,0.1539
768,,,0.1565
769,,,0.1583
770,,,0.1609
771,,,0.165
772,,,0.1695
773,,,0.1731
774,,,0.176
775,,,0.1781
776,,,0.1811
777,,,0.1865
778,,,0.1944
779,,,0.2055
780,,,0.2168
781,,,0.2252
782,,,0.2317
783,,,0.2367
784,,,0.2411
785,,,0.2456
786,,,0.2504
787,,,0.2583
788,,,0.2645
789,,,0.2633
790,,,0.2583
791,,,0.2521
792,,,0.2473
793,,,0.246
794,,,0.2503
795,,,0.2638
796,,,0.2783
797,,,0.2861
798,,,0.2908
799,,,0.294
800,,,0.297
801,,,0.3035
802,,,0.3105
803,,,0.3124
804,,,0.3104
805,,,0.3077
806,,,0.3066
807,,,0.3063
808,,,0.3106
809,,,0.326
810,,,0.3417
811,,,0.3476
812,,,0.3505
813,,,0.3542
814,,,0.356
815,,,0.3509
816,,,0.3501
817,,,0.367
818,,,0.3907
819,,,0.4132
820,,,0.4324
821,,,0.4421
822,,,0.4429
823,,,0.4361
824,,,0.4317
825,,,0.4361
826,,,0.4446
827,,,0.4584
828,,,0.4722
829,,,0.4777
830,,,0.4822
831,,,0.4926
832,,,0.5042
833,,,0.5139
834,,,0.5223
835,,,0.5298
836,,,0.5321
837,,,0.5254
838,,,0.5185
839,,,0.5186
840,,,0.5225
841,,,0.5278
842,,,0.5355
843,,,0.5483
844,,,0.562
845,,,0.5695
846,,,0.5758
847,,,0.5837
848,,,0.5933
849,,,0.6076
850,,,0.6259
851,,,0.6464
852,,,0.663
853,,,0.6694
854,,,0.6725
855,,,0.6781
856,,,0.6884
857,,,0.7042
858,,,0.7226
859,,,0.7442
860,,,0.7651
861,,,0.7801
862,,,0.7923
863,,,0.8036
864,,,0.8112
865,,,0.8147
866,,,0.8174
867,,,0.8234
868,,,0.8281
869,,,0.8285
870,,,0.8265
871,,,0.8234
872,,,0.8205
873,,,0.822
874,,,0.8235
875,,,0.8183
876,,,0.8091
877,,,0.7989
878,,,0.7919
879,,,0.7929
880,,,0.8003
881,,,0.8121
882,,,0.8208
883,,,0.8186
884,,,0.815
885,,,0.8186
886,,,0.8266
887,,,0.8338
888,,,0.8398
889,,,0.8471
890,,,0.8538
891,,,0.8551
892,,,0.8577
893,,,0.8685
894,,,0.8781
895,,,0.8792
896,,,0.8798
897,,,0.8863
898,,,0.8932
899,,,0.8986
900,,,0.9031
901,,,0.9029
902,,,0.9002
903,,,0.901
904,,,0.9051
905,,,0.9109
906,,,0.9163
907,,,0.9201
908,,,0.9197
909,,,0.9129
910,,,0.9077
911,,,0.9081
912,,,0.9114
913,,,0.9184
914,,,0.9289
915,,,0.9414
916,,,0.9551
917,,,0.97
918,,,0.9813
919,,,0.983
920,,,0.9804
921,,,0.9786
922,,,0.9776
923,,,0.9794
924,,,0.9837
925,,,0.9914
926,,,0.9977
927,,,1.0
928,,,0.9997
929,,,0.9977
930,,,0.9923
931,,,0.9844
932,,,0.9721
933,,,0.9515
934,,,0.9286
935,,,0.9109
936,,,0.8982
937,,,0.892
938,,,0.8896
939,,,0.8879
940,,,0.8833
941,,,0.8713
942,,,0.8594
943,,,0.8539
944,,,0.8502
945,,,0.8439
946,,,0.8348
947,,,0.8243
948,,,0.8124
949,,,0.7993
950,,,0.7856
951,,,0.7704
952,,,0.7521
953,,,0.7313
954,,,0.7127
955,,,0.6996
956,,,0.6901
957,,,0.685
958,,,0.6791
959,,,0.6672
960,,,0.6525
961,,,0.637
962,,,0.6202
963,,,0.6006
964,,,0.5822
965,,,0.5692
966,,,0.5602
967,,,0.5556
968,,,0.5538
969,,,0.5527
970,,,0.5488
971,,,0.5397
972,,,0.527
973,,,0.5095
974,,,0.4903
975,,,0.4722
976,,,0.4565
977,,,0.446
978,,,0.4406
979,,,0.4405
980,,,0.4411
981,,,0.4384
982,,,0.432
983,,,0.4179
984,,,0.4019
985,,,0.3903
986,,,0.3821
987,,,0.3781
988,,,0.3749
989,,,0.3687
990,,,0.3585
991,,,0.3442
992,,,0.33
993,,,0.3186
994,,,0.3079
995,,,0.2973
996,,,0.2853
997,,,0.271
998,,,0.2568
999,,,0.2435
1000,,,0.2305
1001,,,0.2183
1002,,,0.2065
1003,,,0.1943
1004,,,0.1827
1005,,,0.1718
1006,,,0.1612
1007,,,0.1503
1008,,,0.1403
1009,,,0.1313
1010,,,0.1233
1011,,,0.1165
1012,,,0.1107
1013,,,0.1051
1014,,,0.0998
1015,,,0.0937
1016,,,0.0874
1017,,,0.0811
1018,,,0.0755
1019,,,0.0711
1020,,,0.0675
1021,,,0.0645
1022,,,0.0614
1023,,,0.0577
1024,,,0.054
1025,,,0.0508
1026,,,0.0478
1027,,,0.045
1028,,,0.0423
1029,,,0.0395
1030,,,0.0366
1031,,,0.0337
1032,,,0.031
1033,,,0.0286
1034,,,0.0265
1035,,,0.0246
1036,,,0.0228
1037,,,0.0213
1038,,,0.0198
1039,,,0.0184
1040,,,0.0171
1041,,,0.0157
1042,,,0.0144
1043,,,0.013
1044,,,0.0118
1045,,,0.0108
1046,,,0.01
1047,,,0.0091
1048,,,0.0084
1049,,,0.0076
1050,,,0.007
1051,,,0.0063
1052,,,0.0058
1053,,,0.0053
1054,,,0.0048
1055,,,0.0045
1056,,,0.0041
1057,,,0.0038
1058,,,0.0034
1059,,,0.0031
1060,,,0.0028
1061,,,0.0026
1062,,,0.0025
1063,,,0.0025
1064,,,0.0025
1065,,,0.0023
1066,,,0.0022
1067,,,0.0022
1068,,,0.0023
1069,,,0.0023
1070,,,0.0023
1071,,,0.0023
1072,,,0.0022
1073,,,0.0019
1074,,,0.0017
1075,,,0.0015
1076,,,0.0013
1077,,,0.0012
1078,,,0.0011
1079,,,0.0012
1080,,,0.0012
1081,,,0.0013
1082,,,0.0013
1083,,,0.0012
1084,,,0.0012
1085,,,0.0012
1086,,,0.0013
1087,,,0.0015
1088,,,0.0017
1089,,,0.0018
1090,,,0.002
1091,,,0.0026
1092,,,0.003
1093,,,0.0036
1094,,,0.0042
1095,,,0.0048
